date,value
06-14-2020,32
06-15-2020,18
06-16-2020,24
06-17-2020,23
06-18-2020,28
06-19-2020,21
06-20-2020,24
06-21-2020,17
06-22-2020,35
06-23-2020,20
06-24-2020,35
06-25-2020,31
06-26-2020,21
06-27-2020,17
06-28-2020,24
06-29-2020,30
06-30-2020,25
07-01-2020,20
07-02-2020,23
07-03-2020,26
07-04-2020,21
07-05-2020,34
07-06-2020,28
07-07-2020,24
07-08-2020,34
07-09-2020,23
07-10-2020,32
07-11-2020,35
07-12-2020,20
07-13-2020,33
07-14-2020,26
07-15-2020,20
07-16-2020,34
07-17-2020,20
07-18-2020,20
07-19-2020,26
07-20-2020,20
07-21-2020,27
07-22-2020,29
07-23-2020,17
07-24-2020,31
07-25-2020,25
07-26-2020,21
07-27-2020,28
07-28-2020,28
07-29-2020,27
07-30-2020,25
07-31-2020,32
08-01-2020,31
08-02-2020,17
08-03-2020,30
08-04-2020,31
08-05-2020,23
08-06-2020,32
08-07-2020,30
08-08-2020,31
08-09-2020,26
08-10-2020,32
08-11-2020,29
08-12-2020,17
08-13-2020,21
08-14-2020,19
08-15-2020,14
08-16-2020,18
08-17-2020,23
08-18-2020,30
08-19-2020,20
08-20-2020,24
08-21-2020,22
08-22-2020,34
08-23-2020,34
08-24-2020,31
08-25-2020,29
08-26-2020,33
08-27-2020,30
08-28-2020,28
08-29-2020,20
08-30-2020,25
08-31-2020,18
09-01-2020,28
09-02-2020,16
09-03-2020,21
09-04-2020,25
09-05-2020,31
09-06-2020,17
09-07-2020,17
09-08-2020,21
09-09-2020,25
09-10-2020,30
09-11-2020,24
09-12-2020,32
09-13-2020,28
09-14-2020,17
09-15-2020,27
09-16-2020,23
09-17-2020,19
09-18-2020,19
09-19-2020,26
09-20-2020,29
09-21-2020,22
09-22-2020,31
09-23-2020,26
09-24-2020,23
09-25-2020,30
09-26-2020,22
09-27-2020,27
09-28-2020,19
09-29-2020,27
09-30-2020,21
10-01-2020,22
10-02-2020,15
10-03-2020,25
10-04-2020,27
10-05-2020,30
10-06-2020,22
10-07-2020,23
10-08-2020,17
10-09-2020,13
10-10-2020,25
10-11-2020,26
10-12-2020,22
10-13-2020,27
10-14-2020,29
10-15-2020,29
10-16-2020,28
10-17-2020,16
10-18-2020,27
10-19-2020,30
10-20-2020,26
10-21-2020,26
10-22-2020,16
10-23-2020,27
10-24-2020,30
10-25-2020,22
10-26-2020,17
10-27-2020,22
10-28-2020,31
10-29-2020,30
10-30-2020,28
10-31-2020,20
11-01-2020,31
11-02-2020,16
11-03-2020,13
11-04-2020,18
11-05-2020,13
11-06-2020,27
11-07-2020,23
11-08-2020,20
11-09-2020,29
11-10-2020,24
11-11-2020,27
11-12-2020,15
11-13-2020,17
11-14-2020,22
11-15-2020,19
11-16-2020,28
11-17-2020,28
11-18-2020,12
11-19-2020,16
11-20-2020,28
11-21-2020,28
11-22-2020,21
11-23-2020,28
11-24-2020,13
11-25-2020,23
11-26-2020,24
11-27-2020,24
11-28-2020,14
11-29-2020,21
11-30-2020,28
12-01-2020,21
12-02-2020,12
12-03-2020,21
12-04-2020,19
12-05-2020,21
12-06-2020,22
12-07-2020,24
12-08-2020,28
12-09-2020,13
12-10-2020,20
12-11-2020,24
12-12-2020,11
12-13-2020,21
12-14-2020,18
12-15-2020,27
12-16-2020,11
12-17-2020,14
12-18-2020,27
12-19-2020,27
12-20-2020,13
12-21-2020,22
12-22-2020,29
12-23-2020,20
12-24-2020,14
12-25-2020,11
12-26-2020,19
12-27-2020,27
12-28-2020,28
12-29-2020,15
12-30-2020,24
12-31-2020,22
01-01-2021,26
01-02-2021,27
01-03-2021,16
01-04-2021,22
01-05-2021,28
01-06-2021,24
01-07-2021,16
01-08-2021,21
01-09-2021,27
01-10-2021,18
01-11-2021,28
01-12-2021,20
01-13-2021,14
01-14-2021,10
